"GAME_ID","SEASON_ID","TEAM_ID_HOME","TEAM_ABBREVIATION_HOME","TEAM_NAME_HOME","GAME_DATE","MATCHUP_HOME","WL_HOME","MIN_HOME","FGM_HOME","FGA_HOME","FG_PCT_HOME","FG3M_HOME","FG3A_HOME","FG3_PCT_HOME","FTM_HOME","FTA_HOME","FT_PCT_HOME","OREB_HOME","DREB_HOME","REB_HOME","AST_HOME","STL_HOME","BLK_HOME","TOV_HOME","PF_HOME","PTS_HOME","PLUS_MINUS_HOME","VIDEO_AVAILABLE_HOME","TEAM_ID_AWAY","TEAM_ABBREVIATION_AWAY","TEAM_NAME_AWAY","MATCHUP_AWAY","WL_AWAY","MIN_AWAY","FGM_AWAY","FGA_AWAY","FG_PCT_AWAY","FG3M_AWAY","FG3A_AWAY","FG3_PCT_AWAY","FTM_AWAY","FTA_AWAY","FT_PCT_AWAY","OREB_AWAY","DREB_AWAY","REB_AWAY","AST_AWAY","STL_AWAY","BLK_AWAY","TOV_AWAY","PF_AWAY","PTS_AWAY","PLUS_MINUS_AWAY","VIDEO_AVAILABLE_AWAY","GAME_DATE_EST","GAME_SEQUENCE","GAME_STATUS_ID","GAME_STATUS_TEXT","GAMECODE","HOME_TEAM_ID","VISITOR_TEAM_ID","SEASON","LIVE_PERIOD","LIVE_PC_TIME","NATL_TV_BROADCASTER_ABBREVIATION","LIVE_PERIOD_TIME_BCAST","WH_STATUS","TEAM_CITY_HOME","PTS_PAINT_HOME","PTS_2ND_CHANCE_HOME","PTS_FB_HOME","LARGEST_LEAD_HOME","LEAD_CHANGES_HOME","TIMES_TIED_HOME","TEAM_TURNOVERS_HOME","TOTAL_TURNOVERS_HOME","TEAM_REBOUNDS_HOME","PTS_OFF_TO_HOME","TEAM_CITY_AWAY","PTS_PAINT_AWAY","PTS_2ND_CHANCE_AWAY","PTS_FB_AWAY","LARGEST_LEAD_AWAY","LEAD_CHANGES_AWAY","TIMES_TIED_AWAY","TEAM_TURNOVERS_AWAY","TOTAL_TURNOVERS_AWAY","TEAM_REBOUNDS_AWAY","PTS_OFF_TO_AWAY","LEAGUE_ID","GAME_DATE_DAY","ATTENDANCE","GAME_TIME","TEAM_CITY_NAME_HOME","TEAM_NICKNAME_HOME","TEAM_WINS_LOSSES_HOME","PTS_QTR1_HOME","PTS_QTR2_HOME","PTS_QTR3_HOME","PTS_QTR4_HOME","PTS_OT1_HOME","PTS_OT2_HOME","PTS_OT3_HOME","PTS_OT4_HOME","PTS_OT5_HOME","PTS_OT6_HOME","PTS_OT7_HOME","PTS_OT8_HOME","PTS_OT9_HOME","PTS_OT10_HOME","PTS_HOME_y","TEAM_CITY_NAME_AWAY","TEAM_NICKNAME_AWAY","TEAM_WINS_LOSSES_AWAY","PTS_QTR1_AWAY","PTS_QTR2_AWAY","PTS_QTR3_AWAY","PTS_QTR4_AWAY","PTS_OT1_AWAY","PTS_OT2_AWAY","PTS_OT3_AWAY","PTS_OT4_AWAY","PTS_OT5_AWAY","PTS_OT6_AWAY","PTS_OT7_AWAY","PTS_OT8_AWAY","PTS_OT9_AWAY","PTS_OT10_AWAY","LAST_GAME_ID","LAST_GAME_DATE_EST","LAST_GAME_HOME_TEAM_ID","LAST_GAME_HOME_TEAM_CITY","LAST_GAME_HOME_TEAM_NAME","LAST_GAME_HOME_TEAM_ABBREVIATION","LAST_GAME_HOME_TEAM_POINTS","LAST_GAME_VISITOR_TEAM_ID","LAST_GAME_VISITOR_TEAM_CITY","LAST_GAME_VISITOR_TEAM_NAME","LAST_GAME_VISITOR_TEAM_CITY1","LAST_GAME_VISITOR_TEAM_POINTS","HOME_TEAM_WINS","HOME_TEAM_LOSSES","SERIES_LEADER","VIDEO_AVAILABLE_FLAG","PT_AVAILABLE","PT_XYZ_AVAILABLE","HUSTLE_STATUS","HISTORICAL_STATUS"
"0024600001","21946","1610610035","HUS","Toronto Huskies","1946-11-01","HUS vs. NYK","L","0","25.0","","","","","","16.0","29.0","0.552","","","","","","","","","66","-2","0","1610612752","NYK","New York Knicks","NYK @ HUS","W","0","24.0","","","","","","20.0","26.0","0.769","","","","","","","","","68","2","0","1946-11-01T00:00:00","","3","","19461101/NYKHUS","1610610035","1610612752","1946","5.0","","","Q5  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","FRIDAY, NOVEMBER 1, 1946","","","Toronto","Huskies","-","","","","","18","","","","","","","","","","66.0","New York","Knicks","-","","","","","24","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600003","21946","1610610034","BOM","St. Louis Bombers","1946-11-02","BOM vs. PIT","W","0","20.0","59.0","0.339","","","","16.0","","","","","","","","","","21.0","56","5","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ BOM","L","0","16.0","72.0","0.222","","","","19.0","","","","","","","","","","25.0","51","-5","0","1946-11-02T00:00:00","","3","","19461102/PITBOM","1610610034","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","St. Louis","Bombers","-","16","16","18","6","","","","","","","","","","","56.0","Pittsburgh","Ironmen","-","5","15","17","14","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600004","21946","1610610025","CHS","Chicago Stags","1946-11-02","CHS vs. NYK","W","0","21.0","","","","","","21.0","","","","","","","","","","20.0","63","16","0","1610612752","NYK","New York Knicks","NYK @ CHS","L","0","16.0","","","","","","15.0","","","","","","","","","","22.0","47","-16","0","1946-11-02T00:00:00","","3","","19461102/NYKCHS","1610610025","1610612752","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Chicago","Stags","-","","","","","","","","","","","","","","","63.0","New York","Knicks","-","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600002","21946","1610610032","PRO","Providence Steamrollers","1946-11-02","PRO vs. BOS","W","0","21.0","","","","","","17.0","","","","","","","","","","","59","6","0","1610612738","BOS","Boston Celtics","BOS @ PRO","L","0","21.0","","","","","","11.0","","","","","","","","","","","53","-6","0","1946-11-02T00:00:00","","3","","19461102/BOSPRO","1610610032","1610612738","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Providence","Steamrollers","-","","12","18","15","","","","","","","","","","","59.0","Boston","Celtics","-","10.0","16","14","13","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","Providence","0.0","0.0","0.0","0.0","1.0"
"0024600005","21946","1610610028","DEF","Detroit Falcons","1946-11-02","DEF vs. WAS","L","0","10.0","","","","","","13.0","","","","","","","","","","","33","-17","0","1610610036","WAS","Washington Capitols","WAS @ DEF","W","0","18.0","","","","","","14.0","","","","","","","","","","","50","17","0","1946-11-02T00:00:00","","3","","19461102/WASDEF","1610610028","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Detroit","Falcons","-","9","10","10","4","","","","","","","","","","","33.0","Washington","Capitols","-","21","4","12","13","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600006","21946","1610610026","CLR","Cleveland Rebels","1946-11-03","CLR vs. HUS","W","0","24.0","","","","","","23.0","","","","","","","","","","","71","11","0","1610610035","HUS","Toronto Huskies","HUS @ CLR","L","0","21.0","","","","","","18.0","","","","","","","","","","","60","-11","0","1946-11-03T00:00:00","","3","","19461103/HUSCLR","1610610026","1610610035","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SUNDAY, NOVEMBER 3, 1946","","","Cleveland","Rebels","-","","","","","","","","","","","","","","","71.0","Toronto","Huskies","-","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","0.0","Cleveland","0.0","0.0","0.0","0.0","1.0"
"0024600007","21946","1610610031","PIT","Pittsburgh Ironmen","1946-11-04","PIT vs. WAS","L","0","19.0","","","","","","18.0","","","","","","","","","","","56","-15","0","1610610036","WAS","Washington Capitols","WAS @ PIT","W","0","22.0","","","","","","27.0","","","","","","","","","","","71","15","0","1946-11-04T00:00:00","","3","","19461104/WASPIT","1610610031","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","MONDAY, NOVEMBER 4, 1946","","","Pittsburgh","Ironmen","-","","","","","","","","","","","","","","","56.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600008","21946","1610612738","BOS","Boston Celtics","1946-11-05","BOS vs. CHS","L","0","23.0","","","","","","9.0","","","","","","","","","","","55","-2","0","1610610025","CHS","Chicago Stags","CHS @ BOS","W","0","24.0","","","","","","9.0","","","","","","","","","","","57","2","0","1946-11-05T00:00:00","","3","","19461105/CHSBOS","1610612738","1610610025","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","TUESDAY, NOVEMBER 5, 1946","","","Boston","Celtics","-","13","20","13","9","","","","","","","","","","","55.0","Chicago","Stags","-","15","12","19","11","","","","","","","","","","","","","","","","","","","","","","","0.0","6.0","Chicago","0.0","0.0","0.0","0.0","1.0"
"0024600009","21946","1610610028","DEF","Detroit Falcons","1946-11-05","DEF vs. BOM","L","0","18.0","","","","","","13.0","","","","","","","","","","","49","-4","0","1610610034","BOM","St. Louis Bombers","BOM @ DEF","W","0","20.0","","","","","","13.0","","","","","","","","","","","53","4","0","1946-11-05T00:00:00","","3","","19461105/BOMDEF","1610610028","1610610034","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","TUESDAY, NOVEMBER 5, 1946","","","Detroit","Falcons","-","","","","","","","","","","","","","","","49.0","St. Louis","Bombers","-","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","6.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600010","21946","1610612744","PHW","Philadelphia Warriors","1946-11-07","PHW vs. PIT","W","0","28.0","","","","","","25.0","39.0","0.641","","","","","","","","24.0","81","6","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ PHW","L","0","29.0","","","","","","17.0","28.0","0.607","","","","","","","","35.0","75","-6","0","1946-11-07T00:00:00","","3","","19461107/PITPHW","1610612744","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 7, 1946","","","Philadelphia","Warriors","-","","","","","","","","","","","","","","","81.0","Pittsburgh","Ironmen","-","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","Philadelphia","0.0","0.0","0.0","0.0","1.0"
"0024600012","21946","1610610034","BOM","St. Louis Bombers","1946-11-07","BOM vs. NYK","L","0","25.0","104.0","0.24","","","","13.0","20.0","0.65","","","","","","","","21.0","63","-5","0","1610612752","NYK","New York Knicks","NYK @ BOM","W","0","26.0","89.0","0.292","","","","16.0","23.0","0.696","","","","","","","","16.0","68","5","0","1946-11-07T00:00:00","","3","","19461107/NYKBOM","1610610034","1610612752","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 7, 1946","","","St. Louis","Bombers","-","17","23","14","9","","","","","","","","","","","63.0","New York","Knicks","-","21","14","19","14","","","","","","","","","","","","","","","","","","","","","","","2.0","4.0","New York","0.0","0.0","0.0","0.0","1.0"
"0024600011","21946","1610610032","PRO","Providence Steamrollers","1946-11-07","PRO vs. CHS","W","0","31.0","","","","","","11.0","","","","","","","","","","20.0","73","8","0","1610610025","CHS","Chicago Stags","CHS @ PRO","L","0","27.0","","","","","","11.0","","","","","","","","","","14.0","65","-8","0","1946-11-07T00:00:00","","3","","19461107/CHSPRO","1610610032","1610610025","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 7, 1946","","","Providence","Steamrollers","-","","","","","","","","","","","","","","","73.0","Chicago","Stags","-","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600013","21946","1610610035","HUS","Toronto Huskies","1946-11-08","HUS vs. DEF","W","0","31.0","","","","","","11.0","26.0","0.423","","","","","","","","21.0","73","2","0","1610610028","DEF","Detroit Falcons","DEF @ HUS","L","0","28.0","","","","","","15.0","23.0","0.652","","","","","","","","15.0","71","-2","0","1946-11-08T00:00:00","","3","","19461108/DEFHUS","1610610035","1610610028","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","FRIDAY, NOVEMBER 8, 1946","","","Toronto","Huskies","-","12","27","22","12","","","","","","","","","","","73.0","Detroit","Falcons","-","15","23","16","17","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600015","21946","1610610032","PRO","Providence Steamrollers","1946-11-09","PRO vs. PIT","W","0","22.0","","","","","","32.0","","","","","","","","","","","76","10","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ PRO","L","0","25.0","","","","","","16.0","","","","","","","","","","","66","-10","0","1946-11-09T00:00:00","","3","","19461109/PITPRO","1610610032","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 9, 1946","","","Providence","Steamrollers","-","","","","","","","","","","","","","","","76.0","Pittsburgh","Ironmen","-","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600016","21946","1610610025","CHS","Chicago Stags","1946-11-09","CHS vs. HUS","W","0","22.0","","","","","","18.0","","","","","","","","","","22.0","64","10","0","1610610035","HUS","Toronto Huskies","HUS @ CHS","L","0","17.0","","","","","","16.0","","","","","","","","","","23.0","54","-10","0","1946-11-09T00:00:00","","3","","19461109/HUSCHS","1610610025","1610610035","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 9, 1946","","","Chicago","Stags","-","14","13","14","21","","","","","","","","","","","64.0","Toronto","Huskies","-","14","16","14","10","","","","","","","","","","","","","","","","","","","","","","","4.0","2.0","Chicago","0.0","0.0","0.0","0.0","1.0"
"0024600017","21946","1610610028","DEF","Detroit Falcons","1946-11-09","DEF vs. BOS","W","0","26.0","","","","","","17.0","","","","","","","","","","","69","23","0","1610612738","BOS","Boston Celtics","BOS @ DEF","L","0","15.0","","","","","","16.0","","","","","","","","","","","46","-23","0","1946-11-09T00:00:00","","3","","19461109/BOSDEF","1610610028","1610612738","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 9, 1946","","","Detroit","Falcons","-","","","","","","","","","","","","","","","69.0","Boston","Celtics","-","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600014","21946","1610610034","BOM","St. Louis Bombers","1946-11-09","BOM vs. WAS","W","0","28.0","","","","","","14.0","","","","","","","","","","36.0","70","1","0","1610610036","WAS","Washington Capitols","WAS @ BOM","L","0","19.0","","","","","","31.0","","","","","","","","","","26.0","69","-1","0","1946-11-09T00:00:00","","3","","19461109/WASBOM","1610610034","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 9, 1946","2206","","St. Louis","Bombers","-","","","","","","","","","","","","","","","70.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","4.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600018","21946","1610610026","CLR","Cleveland Rebels","1946-11-10","CLR vs. WAS","W","0","42.0","","","","","","8.0","","","","","","","","","","","92","24","0","1610610036","WAS","Washington Capitols","WAS @ CLR","L","0","24.0","","","","","","20.0","","","","","","","","","","","68","-24","0","1946-11-10T00:00:00","","3","","19461110/WASCLR","1610610026","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SUNDAY, NOVEMBER 10, 1946","","","Cleveland","Rebels","-","","","","","","","","","","","","","","","92.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600020","21946","1610612752","NYK","New York Knicks","1946-11-11","NYK vs. CHS","L","0","26.0","","","","","","16.0","","","","","","","","","","25.0","68","-10","0","1610610025","CHS","Chicago Stags","CHS @ NYK","W","0","30.0","","","","","","18.0","","","","","","","","","","21.0","78","10","0","1946-11-11T00:00:00","","3","","19461111/CHSNYK","1610612752","1610610025","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","MONDAY, NOVEMBER 11, 1946","","","New York","Knicks","-","","","","","","","","","","","","","","","68.0","Chicago","Stags","-","","","","","","","","","","","","","","","0024600004","1946-11-02T00:00:00","1610612752","New York","Knicks","NYK","47","1610610025","Chicago","Stags","CHS","63","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600019","21946","1610610031","PIT","Pittsburgh Ironmen","1946-11-11","PIT vs. PRO","W","0","29.0","","","","","","26.0","35.0","0.743","","","","","","","","32.0","84","13","0","1610610032","PRO","Providence Steamrollers","PRO @ PIT","L","0","21.0","","","","","","29.0","42.0","0.69","","","","","","","","28.0","71","-13","0","1946-11-11T00:00:00","","3","","19461111/PROPIT","1610610031","1610610032","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","MONDAY, NOVEMBER 11, 1946","","","Pittsburgh","Ironmen","-","30","24","17","13","","","","","","","","","","","84.0","Providence","Steamrollers","-","27","15","16","13","","","","","","","","","","","0024600015","1946-11-09T00:00:00","1610610031","Pittsburgh","Ironmen","PIT","66","1610610032","Providence","Steamrollers","PRO","76","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600022","21946","1610610025","CHS","Chicago Stags","1946-11-13","CHS vs. BOS","W","0","29.0","","","","","","13.0","","","","","","","","","","21.0","71","10","0","1610612738","BOS","Boston Celtics","BOS @ CHS","L","0","22.0","","","","","","17.0","","","","","","","","","","15.0","61","-10","0","1946-11-13T00:00:00","","3","","19461113/BOSCHS","1610610025","1610612738","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","WEDNESDAY, NOVEMBER 13, 1946","","","Chicago","Stags","-","","","","","","","","","","","","","","","71.0","Boston","Celtics","-","","","","","","","","","","","","","","","0024600008","1946-11-05T00:00:00","1610610025","Chicago","Stags","CHS","57","1610612738","Boston","Celtics","BOS","55","6.0","0.0","Chicago","0.0","0.0","0.0","0.0","1.0"
"0024600021","21946","1610610028","DEF","Detroit Falcons","1946-11-13","DEF vs. PRO","L","0","24.0","","","","","","20.0","","","","","","","","","","","68","-2","0","1610610032","PRO","Providence Steamrollers","PRO @ DEF","W","0","27.0","","","","","","16.0","","","","","","","","","","","70","2","0","1946-11-13T00:00:00","","3","","19461113/PRODEF","1610610028","1610610032","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","WEDNESDAY, NOVEMBER 13, 1946","","","Detroit","Falcons","-","16","20","16","16","","","","","","","","","","","68.0","Providence","Steamrollers","-","16","23","22","9","","","","","","","","","","","","","","","","","","","","","","","2.0","4.0","Providence","0.0","0.0","0.0","0.0","1.0"
"0024600023","21946","1610612744","PHW","Philadelphia Warriors","1946-11-14","PHW vs. WAS","W","0","26.0","","","","","","16.0","","","","","","","","","","21.0","68","3","0","1610610036","WAS","Washington Capitols","WAS @ PHW","L","0","25.0","","","","","","15.0","","","","","","","","","","19.0","65","-3","0","1946-11-14T00:00:00","","3","","19461114/WASPHW","1610612744","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 14, 1946","","","Philadelphia","Warriors","-","","","","","","","","","","","","","","","68.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600024","21946","1610610034","BOM","St. Louis Bombers","1946-11-14","BOM vs. BOS","W","0","29.0","","","","","","6.0","","","","","","","","","","","64","2","0","1610612738","BOS","Boston Celtics","BOS @ BOM","L","0","24.0","","","","","","14.0","","","","","","","","","","","62","-2","0","1946-11-14T00:00:00","","3","","19461114/BOSBOM","1610610034","1610612738","1946","5.0","","","Q5  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 14, 1946","","","St. Louis","Bombers","-","14","12","14","17","7","","","","","","","","","","64.0","Boston","Celtics","-","13","23","9","12","5","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600025","21946","1610610035","HUS","Toronto Huskies","1946-11-15","HUS vs. PRO","W","0","32.0","","","","","","21.0","28.0","0.75","","","","","","","","22.0","85","17","0","1610610032","PRO","Providence Steamrollers","PRO @ HUS","L","0","21.0","","","","","","26.0","34.0","0.765","","","","","","","","22.0","68","-17","0","1946-11-15T00:00:00","","3","","19461115/PROHUS","1610610035","1610610032","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","FRIDAY, NOVEMBER 15, 1946","","","Toronto","Huskies","-","14","27","22","22","","","","","","","","","","","85.0","Providence","Steamrollers","-","12","22","17","17","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600030","21946","1610612738","BOS","Boston Celtics","1946-11-16","BOS vs. HUS","W","0","18.0","","","","","","17.0","","","","","","","","","","","53","4","0","1610610035","HUS","Toronto Huskies","HUS @ BOS","L","0","16.0","","","","","","17.0","","","","","","","","","","","49","-4","0","1946-11-16T00:00:00","","3","","19461116/HUSBOS","1610612738","1610610035","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 16, 1946","","","Boston","Celtics","-","19","9","8","17","","","","","","","","","","","53.0","Toronto","Huskies","-","18","3","17","11","","","","","","","","","","","","","","","","","","","","","","","4.0","2.0","Boston","0.0","0.0","0.0","0.0","1.0"
"0024600028","21946","1610612752","NYK","New York Knicks","1946-11-16","NYK vs. PIT","W","0","23.0","","","","","","18.0","","","","","","","","","","","64","2","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ NYK","L","0","20.0","","","","","","22.0","","","","","","","","","","","62","-2","0","1946-11-16T00:00:00","","3","","19461116/PITNYK","1610612752","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 16, 1946","","","New York","Knicks","-","28","15","16","5","","","","","","","","","","","64.0","Pittsburgh","Ironmen","-","33","10","16","3","","","","","","","","","","","","","","","","","","","","","","","6.0","0.0","New York","0.0","0.0","0.0","0.0","1.0"
"0024600029","21946","1610610032","PRO","Providence Steamrollers","1946-11-16","PRO vs. DEF","L","0","21.0","","","","","","17.0","","","","","","","","","","","59","-11","0","1610610028","DEF","Detroit Falcons","DEF @ PRO","W","0","28.0","","","","","","14.0","","","","","","","","","","","70","11","0","1946-11-16T00:00:00","","3","","19461116/DEFPRO","1610610032","1610610028","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 16, 1946","","","Providence","Steamrollers","-","19","12","14","14","","","","","","","","","","","59.0","Detroit","Falcons","-","13","25","13","19","","","","","","","","","","","0024600021","1946-11-13T00:00:00","1610610032","Providence","Steamrollers","PRO","70","1610610028","Detroit","Falcons","DEF","68","4.0","2.0","Providence","0.0","0.0","0.0","0.0","1.0"
"0024600027","21946","1610610025","CHS","Chicago Stags","1946-11-16","CHS vs. WAS","L","0","21.0","","","","","","23.0","","","","","","","","","","24.0","65","-8","0","1610610036","WAS","Washington Capitols","WAS @ CHS","W","0","27.0","","","","","","19.0","","","","","","","","","","31.0","73","8","0","1946-11-16T00:00:00","","3","","19461116/WASCHS","1610610025","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 16, 1946","","","Chicago","Stags","-","","","","","","","","","","","","","","","65.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600026","21946","1610610034","BOM","St. Louis Bombers","1946-11-16","BOM vs. CLR","W","0","35.0","120.0","0.292","","","","13.0","22.0","0.591","","","","","","","","20.0","83","9","0","1610610026","CLR","Cleveland Rebels","CLR @ BOM","L","0","29.0","117.0","0.248","","","","16.0","24.0","0.667","","","","","","","","23.0","74","-9","0","1946-11-16T00:00:00","","3","","19461116/CLRBOM","1610610034","1610610026","1946","5.0","","","Q5  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 16, 1946","","","St. Louis","Bombers","-","14","15","19","22","13","","","","","","","","","","83.0","Cleveland","Rebels","-","15","19","14","22","4","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600031","21946","1610610026","CLR","Cleveland Rebels","1946-11-17","CLR vs. CHS","L","0","32.0","","","","","","12.0","","","","","","","","","","21.0","76","-2","0","1610610025","CHS","Chicago Stags","CHS @ CLR","W","0","30.0","","","","","","18.0","","","","","","","","","","17.0","78","2","0","1946-11-17T00:00:00","","3","","19461117/CHSCLR","1610610026","1610610025","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SUNDAY, NOVEMBER 17, 1946","","","Cleveland","Rebels","-","","","","","","","","","","","","","","","76.0","Chicago","Stags","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Chicago","0.0","0.0","0.0","0.0","1.0"
"0024600032","21946","1610612752","NYK","New York Knicks","1946-11-18","NYK vs. DEF","W","0","25.0","","","","","","11.0","","","","","","","","","","","61","4","0","1610610028","DEF","Detroit Falcons","DEF @ NYK","L","0","22.0","","","","","","13.0","","","","","","","","","","","57","-4","0","1946-11-18T00:00:00","","3","","19461118/DEFNYK","1610612752","1610610028","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","MONDAY, NOVEMBER 18, 1946","","","New York","Knicks","-","","","","","","","","","","","","","","","61.0","Detroit","Falcons","-","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","New York","0.0","0.0","0.0","0.0","1.0"
